URL,Código de resposta,Erro de notícias,Detectado,Categoria
http://www.scup.com/pt/blog/450/page/30/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,18/01/14,Não encontrado
http://www.scup.com/pt/blog/450/page/2/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,09/01/14,Não encontrado
http://www.scup.com/pt/blog/450/page/3/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,09/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-12-17/,404,,07/01/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-04-30/feed/,404,,06/02/14,Não encontrado
http://www.scup.com/pt/http:/,404,,06/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-04-24/feed/,404,,06/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-04-17/feed/,404,,06/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-usar-o-sac-2-0-do-scup-2014-03-14/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-usar-o-sac-2-0-do-scup-2014-04-25/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-usar-o-sac-2-0-do-scup-2014-02-28/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-04-23/feed/,404,,05/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-03-10/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-dicas-espertas-que-agilizam-o-seu-dia-a-dia-2014-03-07/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-02-12/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-dicas-espertas-que-agilizam-o-seu-dia-a-dia-2014-04-18/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-02-27/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-03-06/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-04-10/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-04-03/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-03-13/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-03-20/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-03-27/feed/,404,,04/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-usar-o-sac-2-0-do-scup-2014-03-28/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-03-17/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-03-31/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-03-24/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-02-24/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-02-17/feed/,404,,03/02/14,Não encontrado
